lead_id,segment,platform,search_query,discovery_url,message_subject,message_body,status,followup_due_days
CR-0001,Health-conscious parents,YouTube,dye free snacks for kids,https://www.youtube.com/results?search_query=usa%20gummies%20dye%20free%20snacks%20for%20kids,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 1 | Platform: YouTube",ready-to-send,4
CR-0002,Health-conscious parents,TikTok,dye free snacks for kids,https://www.tiktok.com/search?q=usa%20gummies%20dye%20free%20snacks%20for%20kids,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 2 | Platform: TikTok",ready-to-send,4
CR-0003,Health-conscious parents,Instagram,dye free snacks for kids,https://www.instagram.com/explore/search/keyword/?q=usa%20gummies%20dye%20free%20snacks%20for%20kids,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 3 | Platform: Instagram",ready-to-send,4
CR-0004,Health-conscious parents,LinkedIn,dye free snacks for kids,https://www.linkedin.com/search/results/content/?keywords=usa%20gummies%20dye%20free%20snacks%20for%20kids,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 4 | Platform: LinkedIn",ready-to-send,4
CR-0005,Health-conscious parents,X,dye free snacks for kids,https://x.com/search?q=usa%20gummies%20dye%20free%20snacks%20for%20kids&f=live,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 5 | Platform: X",ready-to-send,4
CR-0006,Health-conscious parents,YouTube,lunchbox snack swaps,https://www.youtube.com/results?search_query=usa%20gummies%20lunchbox%20snack%20swaps,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 6 | Platform: YouTube",ready-to-send,4
CR-0007,Health-conscious parents,TikTok,lunchbox snack swaps,https://www.tiktok.com/search?q=usa%20gummies%20lunchbox%20snack%20swaps,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 7 | Platform: TikTok",ready-to-send,4
CR-0008,Health-conscious parents,Instagram,lunchbox snack swaps,https://www.instagram.com/explore/search/keyword/?q=usa%20gummies%20lunchbox%20snack%20swaps,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 8 | Platform: Instagram",ready-to-send,4
CR-0009,Health-conscious parents,LinkedIn,lunchbox snack swaps,https://www.linkedin.com/search/results/content/?keywords=usa%20gummies%20lunchbox%20snack%20swaps,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 9 | Platform: LinkedIn",ready-to-send,4
CR-0010,Health-conscious parents,X,lunchbox snack swaps,https://x.com/search?q=usa%20gummies%20lunchbox%20snack%20swaps&f=live,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 10 | Platform: X",ready-to-send,4
CR-0011,Health-conscious parents,YouTube,mom snack reviews,https://www.youtube.com/results?search_query=usa%20gummies%20mom%20snack%20reviews,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching mom snack reviews. I think there is a strong fit because your audience already cares about better-for-you choices like mom snack reviews.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 11 | Platform: YouTube",ready-to-send,4
CR-0012,Health-conscious parents,TikTok,mom snack reviews,https://www.tiktok.com/search?q=usa%20gummies%20mom%20snack%20reviews,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching mom snack reviews. I think there is a strong fit because your audience already cares about better-for-you choices like mom snack reviews.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 12 | Platform: TikTok",ready-to-send,4
CR-0013,Health-conscious parents,Instagram,mom snack reviews,https://www.instagram.com/explore/search/keyword/?q=usa%20gummies%20mom%20snack%20reviews,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching mom snack reviews. I think there is a strong fit because your audience already cares about better-for-you choices like mom snack reviews.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 13 | Platform: Instagram",ready-to-send,4
CR-0014,Health-conscious parents,LinkedIn,mom snack reviews,https://www.linkedin.com/search/results/content/?keywords=usa%20gummies%20mom%20snack%20reviews,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching mom snack reviews. I think there is a strong fit because your audience already cares about better-for-you choices like mom snack reviews.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 14 | Platform: LinkedIn",ready-to-send,4
CR-0015,Health-conscious parents,X,mom snack reviews,https://x.com/search?q=usa%20gummies%20mom%20snack%20reviews&f=live,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching mom snack reviews. I think there is a strong fit because your audience already cares about better-for-you choices like mom snack reviews.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 15 | Platform: X",ready-to-send,4
CR-0016,Patriotic lifestyle creators,YouTube,made in usa products,https://www.youtube.com/results?search_query=usa%20gummies%20made%20in%20usa%20products,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching made in usa products. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 16 | Platform: YouTube",ready-to-send,4
CR-0017,Patriotic lifestyle creators,TikTok,made in usa products,https://www.tiktok.com/search?q=usa%20gummies%20made%20in%20usa%20products,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching made in usa products. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 17 | Platform: TikTok",ready-to-send,4
CR-0018,Patriotic lifestyle creators,Instagram,made in usa products,https://www.instagram.com/explore/search/keyword/?q=usa%20gummies%20made%20in%20usa%20products,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching made in usa products. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 18 | Platform: Instagram",ready-to-send,4
CR-0019,Patriotic lifestyle creators,LinkedIn,made in usa products,https://www.linkedin.com/search/results/content/?keywords=usa%20gummies%20made%20in%20usa%20products,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching made in usa products. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 19 | Platform: LinkedIn",ready-to-send,4
CR-0020,Patriotic lifestyle creators,X,made in usa products,https://x.com/search?q=usa%20gummies%20made%20in%20usa%20products&f=live,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching made in usa products. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 20 | Platform: X",ready-to-send,4
CR-0021,Patriotic lifestyle creators,YouTube,american small business finds,https://www.youtube.com/results?search_query=usa%20gummies%20american%20small%20business%20finds,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching american small business finds. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 21 | Platform: YouTube",ready-to-send,4
CR-0022,Patriotic lifestyle creators,TikTok,american small business finds,https://www.tiktok.com/search?q=usa%20gummies%20american%20small%20business%20finds,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching american small business finds. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 22 | Platform: TikTok",ready-to-send,4
CR-0023,Patriotic lifestyle creators,Instagram,american small business finds,https://www.instagram.com/explore/search/keyword/?q=usa%20gummies%20american%20small%20business%20finds,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching american small business finds. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 23 | Platform: Instagram",ready-to-send,4
CR-0024,Patriotic lifestyle creators,LinkedIn,american small business finds,https://www.linkedin.com/search/results/content/?keywords=usa%20gummies%20american%20small%20business%20finds,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching american small business finds. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 24 | Platform: LinkedIn",ready-to-send,4
CR-0025,Patriotic lifestyle creators,X,american small business finds,https://x.com/search?q=usa%20gummies%20american%20small%20business%20finds&f=live,Quick collab with an American-made snack brand,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching american small business finds. I think there is a strong fit because your followers actively engage with made-in-USA product discovery.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 25 | Platform: X",ready-to-send,4
